codigo,nome,cientifico,grupo,Alfa-tocoferol (Vitamina E) (mg),Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g),Cinzas (g),Cobre (mg),Colesterol (g),Colesterol (mg),Cálcio (mg),Energia (kJ),Energia (kcal),Equivalente de folato (mcg),Ferro (mg),Fibra alimentar (g),Fósforo (mg),Gordura de adição (g),Lipídios (g),Magnésio (mg),Niacina (mg),Potássio (mg),Proteína (g),Proteína animal (g),Proteína vegetal (g),Riboflavina (mg),Sal de adição (g),Selênio (mcg),Sódio (mg),Tiamina (mg),Umidade (g),Vitamina A (RAE) (mcg),Vitamina A (RE) (mcg),Vitamina B12 (mcg),Vitamina B6 (mg),Vitamina C (mg),Vitamina D (mcg),Zinco (mg),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos saturados (g),Ácidos graxos trans (g),Álcool (g)
C0064L,"Molho caipira, caseiro, (suco de limão, cebola, caldo de galinha, salsa, c/ pimenta-do-reino, c/ azeite de oliva),",,Miscelâneas,10.4,,3.96,4.74,0.54,0.03,,0.01,19.4,2175,528,6.15,0.45,0.78,13.3,,56.5,5.10,0.03,67.8,0.60,,,0.01,,0.30,128,0.09,37.6,2.14,4.13,0.00,0.02,11.7,0.00,0.10,42.6,5.37,8.46,0.03,0.00
C0007A,"Milho, verde, grão, enlatado, drenado (média de diferentes marcas),",,Cereais e derivados,0.15,,16.9,21.7,1.01,0.05,,0.00,2.53,451,107,53.4,0.68,4.75,71.1,,2.05,19.1,4.33,187,2.89,,,0.06,,0.00,301,,72.4,26.1,52.2,0.00,,2.02,0.00,0.58,0.68,0.77,0.51,,0.00
C0472E,"Poke hawaiano, c/ atum, pepino, avocado e cebola, (arroz para sushi (c/ vinagre de arroz, açúcar e sal), atum, pepino, avocado, cebola, amendoim, cebolinha, gergelim, c/ óleo de gergelim, c/ molho shoyu),",,Pescados e Frutos do mar,0.77,0.13,6.63,9.23,1.32,0.14,,10.9,19.3,565,135,31.1,0.69,2.61,97.9,,7.80,29.5,2.10,259,8.30,,,0.05,,7.96,129,0.05,73.3,8.81,8.81,1.81,0.09,4.18,0.23,0.49,3.79,2.04,1.25,,0.00
C0650A,"Suflê, alho poró, c/ molho branco, c/ sal, (alho poró, ovo de galinha, farinha de rosca, salsa, c/ molho branco (farinha de trigo, manteiga e leite), c/ óleo, cebola e alho, c/ sal),",,Cereais e derivados,0.74,0.00,10.4,11.0,1.23,0.05,,51.3,80.1,503,130,15.5,0.80,0.58,77.7,,7.72,13.9,0.97,141,4.37,,,0.16,0.47,5.65,251,0.05,75.7,97.4,88.9,0.28,0.04,1.59,0.89,0.42,2.10,1.04,3.82,0.13,0.00
C0349A,"Sanduíche, pão francês, c/ peito de peru defumado, queijo muçarela, c/ margarina,",,Cereais e derivados,0.58,,25.6,26.7,2.23,0.09,,36.6,201,1200,287,65.8,2.12,1.09,256,,13.5,22.2,1.02,160,15.0,,,0.41,,3.04,725,0.18,42.6,0.85,0.85,0.68,0.26,0.00,0.01,1.63,3.48,2.39,5.36,1.15,0.00
C0172A,"Torrada, levemente salgada, Bauducco,",,Cereais e derivados,0.44,,74.9,74.9,2.65,,,,20.1,1767,418,128,1.33,0.00,121,,7.88,33.8,,202,11.9,,,,,,887,0.40,2.67,0.00,0.00,0.00,,,0.00,0.97,1.91,2.39,2.15,1.07,0.00
C0235B,"Serralha, folha, refogada (c/ óleo, cebola e alho), s/ sal,",,Vegetais e derivados,2.54,0.00,2.30,6.58,1.68,0.25,,0.00,149,207,50,71.5,1.52,4.29,60.6,,2.08,35.7,,328,3.31,,,0.13,0.00,0.75,22.9,,86.3,642,1285,0.00,0.10,1.52,0.00,1.59,0.28,1.08,0.30,0.01,0.00
C1034F,"Carne, rã, coxa e dorso, ensopado (c/ tomate e pimentão), c/ óleo de soja, cebola e alho, c/ sal, Rana catesbeiana,",,Carnes e derivados,0.24,0.45,3.26,3.56,1.87,0.30,180,,122,444,105,3.72,1.02,0.29,163,,1.98,23.4,1.12,315,18.4,,,0.22,0.00,,266,0.14,74.2,60.7,,,0.13,8.67,0.65,1.30,0.39,0.89,0.41,,0.00
C0336E,"Mujica/mojica a cuiabana (peixe com mandioca - aipim, macaxeira), (corimba, mandioca (aipim, macaxeira), cebolinha, coentro, suco de limão, c/ caldo de peixe, c/ óleo, cebola e alho, c/ pimenta-do-rei, c/ sal),",,Pescados e Frutos do mar,0.50,0.00,9.50,10.3,1.19,0.04,,19.9,30.9,477,114,10.4,0.35,0.83,105,,4.23,21.4,0.89,216,8.98,,,0.00,0.45,12.5,204,0.03,75.3,14.5,21.6,1.77,0.03,5.42,0.59,0.29,1.44,0.91,1.43,0.03,0.00
C0053N,"Peixe, água salgada, atum, sólido, conserva, light,",,Alimentos para fins especiais,0.06,,1.68,1.68,1.15,0.04,,52.9,6.52,489,115,3.64,1.23,,211,,0.60,29.5,3.17,279,25.8,,,0.03,,,362,,70.8,,,1.60,,0.00,0.49,0.59,1.30,,1.00,,0.00
C0085G,"Vitamina, leite de vaca integral c/ maçã, c/ açúcar,",,Leite e derivados,0.10,5.00,12.9,13.3,0.53,0.03,,8.04,70.5,335,79,3.37,0.08,0.40,56.0,,2.10,6.95,0.99,109,2.00,,,0.16,0.00,3.15,42.1,0.03,82.0,32.5,33.9,0.24,0.01,0.72,0.00,0.25,0.61,0.08,1.31,,0.00
C0101B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal, Cucurbita maxima,",,Vegetais e derivados,1.51,0.00,4.44,5.98,0.37,0.04,,0.00,19.1,124,30,8.45,0.11,1.55,11.7,,0.80,7.49,,183,0.39,,,,0.00,1.07,3.03,0.05,92.5,47.7,95.3,0.00,0.05,6.73,0.00,0.08,0.19,0.45,0.12,0.00,0.00
C0089H,"Bebida, café - infusão 10% - intenso, c/ leite desnatado (meio a meio), ""média"", s/ açúcar,",,Bebidas,0.04,0.00,3.81,3.81,0.57,0.01,,1.88,68.9,104,24,3.75,0.00,0.00,47.7,,0.21,9.98,0.84,148,1.83,,,0.17,0.00,,26.2,0.03,93.6,4.50,0.00,0.27,,,0.00,0.19,0.03,0.00,0.00,0.00,0.00
C0028K,"Mel, de abelha, Apis melifera,",,Produtos açucarados,0.00,,80.7,80.9,0.18,0.02,,0.00,11.2,1374,324,1.96,0.62,0.20,3.04,,0.00,8.31,,123,0.17,,,,,0.78,6.06,0.10,18.7,0.00,0.00,0.00,,0.71,0.00,0.33,0.00,0.00,0.00,,0.00
C1051A,"Pamonha, milho verde, c/ coco ralado, c/ açúcar,",,Cereais e derivados,0.36,10.00,33.0,35.4,0.63,0.06,,4.19,8.79,921,219,20.0,0.62,2.43,52.0,,8.08,19.5,,148,2.45,,,,0.00,2.89,108,,53.4,21.2,27.0,0.10,,0.25,0.00,0.51,0.71,1.15,3.40,0.09,0.00
C0306F,"Carne, boi, acém, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal,",,Carnes e derivados,0.20,0.00,1.16,1.28,1.27,0.08,,101,7.62,887,212,5.67,2.27,0.12,159,,11.4,14.5,1.55,255,26.0,,,0.04,0.45,0.03,233,0.00,60.0,0.00,0.00,2.55,0.08,0.41,2.63,7.59,3.77,0.94,5.39,0.29,0.00
C0095A,"Cereais, c/ vitamina, trigo, cevada e aveia, mistura p/ mingau,",,Cereais e derivados,1.77,,76.6,81.6,3.00,0.21,,,584,1572,371,44.1,12.6,4.98,515,,2.12,72.3,7.46,244,8.90,,,0.88,,,1163,0.76,4.37,0.00,0.00,0.00,1.49,13.1,0.00,2.02,0.40,1.00,0.50,,0.00
C0729A,"Arroz com pequi, c/ arroz integral, s/ sal, (arroz integral, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal),",,Cereais e derivados,0.39,0.00,15.9,20.1,0.43,0.11,,0.00,12.3,741,178,5.93,0.27,4.17,40.9,,10.7,24.9,0.54,83.8,2.46,,,0.10,0.00,0.59,0.89,0.09,66.3,0.00,0.00,0.00,0.08,4.53,0.00,0.37,0.65,1.26,0.45,0.01,0.00
C0933F,"Carne, boi, miolo de alcatra (baby beef), grelhada/assada, s/ óleo, c/ molho roti (caldo de carne, água, vinho tinto, farinha de trigo, manteiga, tomilho, c/ pimenta-do-reino), s/ sal,",,Carnes e derivados,0.40,,1.57,1.76,1.42,0.10,,79.7,7.40,920,220,12.2,2.68,0.19,228,,11.9,22.8,3.76,323,25.9,,,0.04,,4.84,197,0.03,59.1,29.4,29.1,2.52,0.05,0.41,0.12,3.89,4.55,0.29,5.58,0.29,0.00
C0020A,"Aveia, farinha, cozida, s/ tempero, Avena sativa,",,Cereais e derivados,0.04,0.00,7.60,8.95,0.18,0.06,,0.00,6.27,204,48,4.36,0.58,1.35,20.1,,0.84,15.6,0.59,44.0,1.93,,,0.00,0.00,,0.61,0.07,88.1,0.00,0.00,0.00,,0.18,0.00,0.34,0.31,0.30,0.15,,0.00
C0003G,"Bebida láctea, morango, Dan Up,",,Leite e derivados,0.10,,30.3,30.3,0.71,0.06,,6.76,260,650,154,14.0,,0.00,185,,2.40,25.2,0.97,182,2.70,,,0.40,0.00,,135,0.08,63.9,222,,0.73,,6.03,0.00,0.72,0.76,,1.38,0.08,0.00
C0427F,"Carne, boi, músculo, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, c/ sal,",,Carnes e derivados,0.67,0.00,3.95,4.81,1.07,0.07,,42.2,8.68,1011,243,8.93,1.40,0.86,113,,18.0,13.7,1.79,211,16.0,,,0.00,0.45,0.10,206,0.03,60.2,154,309,3.27,0.03,4.89,0.00,4.29,7.02,1.01,8.04,0.36,0.00
C0079K,"Torta, sabor morango,",,Produtos açucarados,,,22.0,22.0,0.65,,,0.00,6.67,931,223,34.3,1.17,2.74,28.6,,12.9,7.62,1.14,47.6,4.76,,,0.13,,,176,0.15,57.0,2.16,,0.00,0.03,0.67,,0.19,5.54,3.33,3.15,,0.00
C0051B,"Couve, cozida, drenada, s/ óleo, s/ sal, Brassica oleracea,",,Vegetais e derivados,1.08,0.00,1.12,4.01,1.25,0.04,,0.00,236,106,25,12.5,0.56,2.89,40.6,,0.51,41.4,1.38,582,2.66,,,0.19,0.00,0.24,10.7,0.12,91.6,233,466,0.00,0.04,35.8,0.00,0.21,,0.12,0.11,0.00,0.00
C0046J,"Ovos Benedict, c/ presunto, c/ sal, (pão forma tradicional, ovo cozido, presunto, molho holandês, salsa, c/ pimenta-do-reino, c/ sal),",,Ovos e derivados,1.07,0.00,13.5,14.3,1.97,0.07,,240,56.0,910,218,59.0,1.75,0.77,173,,13.6,21.9,0.60,181,10.1,,,0.15,0.47,10.7,642,0.15,60.1,159,167,0.57,0.04,1.55,1.14,1.25,4.25,1.04,6.06,0.29,0.00
C0126T,"Sopa, feijão, preto, c/ toucinho defumado (bacon), c/ sal, (feijão preto, c/ toucinho defumado (bacon), c/ caldo de carne, c/ óleo, cebola e alho, c/ sal),",,Leguminosas e derivados,0.15,0.00,4.50,10.5,1.08,0.41,,4.96,22.6,370,89,61.4,1.12,6.02,71.2,,4.38,29.7,0.29,206,4.90,,,0.00,0.47,1.94,196,0.04,79.1,8.66,16.9,0.10,0.03,0.39,0.00,1.41,1.57,1.38,1.21,0.03,0.00
C0825B,"Pimenta, jalapeño, in natura, Capsicum anuum,",,Vegetais e derivados,3.58,0.00,3.70,6.50,0.53,0.05,,0.00,12.0,114,27,27.0,0.25,2.80,26.0,,0.37,15.0,1.28,248,0.91,,,0.07,0.00,0.40,3.00,0.04,91.7,54.0,,0.00,0.42,118,0.00,0.14,0.03,0.11,0.09,0.00,0.00
C0107B,"Espinafre, refogado (c/ óleo, cebola e alho), s/ sal, Tetragonia expansa,",,Vegetais e derivados,,0.00,1.72,4.24,1.03,0.04,,0.00,112,297,72,,0.65,2.52,33.5,,5.43,122,,149,2.72,,,0.13,0.00,,47.0,0.08,86.6,312,624,0.00,0.13,5.27,0.00,0.59,1.30,2.90,0.90,0.04,0.00
C0365A,"Sanduíche, cachorro quente, (c/ pão para hot dog e salsicha de frango), c/ milho, ervilha, batata palha, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal),",,Cereais e derivados,1.39,,22.7,26.1,2.21,0.05,,23.9,24.2,758,183,51.7,2.26,3.42,106,,6.20,18.7,1.63,200,7.51,,,0.08,,2.08,539,0.05,58.0,10.9,21.8,0.18,0.13,1.60,0.09,1.35,2.02,1.31,1.70,0.06,0.00
C0836A,"Biscoito, arroz,",,Cereais e derivados,0.62,,77.3,81.5,1.70,0.45,,0.00,11.0,1591,376,21.0,1.49,4.20,360,,2.80,131,7.81,290,8.20,,,0.17,,24.6,166,0.06,5.80,0.00,0.00,0.00,0.15,0.00,0.00,3.00,1.03,0.99,0.57,,0.00
C0015C,"Goiaba, branca, inteira, c/ casca, in natura, Psidium guajava L.,",,Frutas e derivados,0.39,0.00,6.36,12.3,0.48,0.04,,0.00,4.93,188,45,36.0,0.17,5.98,16.2,,0.51,6.94,,216,0.79,,,,0.00,0.40,,,85.9,16.8,33.7,0.00,0.03,97.7,0.00,0.15,,0.24,0.06,0.00,0.00
C0002A,"Pão francês, trigo, branco, de padaria (médias de diferentes amostras),",,Cereais e derivados,0.18,,59.0,61.6,1.74,0.14,,0.00,14.2,1270,300,149,4.33,2.61,99.7,,2.12,24.9,2.46,149,9.83,,,0.70,,7.30,681,0.41,24.7,2.04,2.04,0.00,0.63,0.00,0.00,0.82,0.62,0.48,0.68,0.25,0.00
C0299A,"Sanduíche, pão francês, c/ presunto, c/ margarina,",,Cereais e derivados,0.72,,33.4,34.8,2.20,0.10,,12.5,13.8,1149,274,85.1,2.64,1.45,159,,10.6,20.7,0.00,195,10.5,,,0.40,,4.06,878,0.23,41.7,1.13,1.13,0.11,0.35,1.09,0.15,1.07,2.98,2.89,2.50,1.25,0.00
C0710B,"Salada, pimentão verde, amarelo, vermelho assados,  c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal,",,Vegetais e derivados,1.43,0.00,3.74,5.44,0.60,0.06,,0.00,14.8,199,48,22.0,0.48,1.70,20.2,,2.78,10.9,,212,1.13,,,0.03,0.32,0.22,40.6,0.04,90.1,37.3,74.5,0.00,0.04,115,0.00,0.21,1.85,0.35,0.42,0.00,0.00
C0945B,"Sopa, inhame, c/ sal, (inhame, c/ caldo de vegetais, salsa, c/ óleo, cebola e alho, c/ sal),",,Vegetais e derivados,0.89,0.00,8.66,9.62,1.00,0.08,,1.90,12.1,237,56,7.01,0.12,0.95,35.5,,1.35,9.08,0.22,138,1.88,,,,0.47,0.65,189,0.03,86.2,25.2,49.4,0.00,0.05,1.89,0.00,0.21,0.30,0.76,0.23,0.01,0.00
C0097G,"Bebida, leite desnatado, c/ cacau em pó (10%), s/ açúcar,",,Bebidas,0.05,0.00,7.45,11.1,1.27,0.40,,3.38,133,298,71,8.14,1.39,3.70,150,,1.69,59.2,1.57,279,4.64,,,0.26,0.00,1.43,48.4,0.04,81.2,8.10,,0.49,0.01,,0.00,1.03,0.46,0.04,0.81,0.00,0.00
C0834B,"Caponata de berinjela, conserva de berinjela, c/ sal, (berinjela, pimentões coloridos, uva passa, azeite de oliva, vinagre de maçã, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal),",,Vegetais e derivados,1.48,0.00,8.49,10.3,0.76,0.06,,0.00,13.2,856,207,9.78,0.48,1.79,28.7,,18.3,10.4,0.04,162,1.23,,,0.01,0.32,0.20,130,0.04,69.4,11.7,23.4,0.00,0.05,34.3,0.00,0.21,11.5,3.85,2.74,0.02,0.00
C0144F,"Carne, ovino, ovelha, meia carcaça, crua, Ovis aries,",,Carnes e derivados,0.18,0.00,0.00,0.00,0.35,,,101,6.28,637,156,23.0,3.64,0.00,189,,7.83,26.0,6.01,280,20.4,,,0.23,0.00,,58.3,0.13,71.4,0.00,,2.62,0.16,0.00,,4.07,3.30,0.75,2.94,,0.00
C0411B,"Salada, vegetais crus, s/ óleo, s/ sal, (tomate, cebola, s/ óleo, s/ sal),",,Vegetais e derivados,0.34,0.00,3.63,5.36,0.47,0.07,,0.00,8.97,102,24,16.5,0.27,1.72,26.9,,0.16,10.6,0.00,189,1.24,,,0.01,0.00,0.16,2.41,0.08,92.8,36.2,72.3,0.00,0.07,12.4,0.00,0.16,0.02,0.06,0.03,0.00,0.00
C0350A,"Sanduíche, pão forma integral, c/ peito de peru defumado, queijo muçarela, c/ margarina,",,Cereais e derivados,1.30,,19.1,21.3,2.43,0.10,,36.6,249,1109,266,41.9,1.53,2.20,293,,13.7,36.5,0.00,165,15.3,,,0.13,,2.29,647,0.04,47.3,0.05,0.10,0.68,0.06,0.00,0.01,1.93,3.45,2.51,5.28,1.13,0.00
C0881B,"Batata, doce, s/ casca, assada, salsa, c/ manteiga, c/ pimenta-do-reino, c/ sal,",,Vegetais e derivados,1.51,0.00,29.6,33.3,2.61,0.14,,10.7,36.8,738,176,14.4,0.51,3.73,46.3,,4.58,30.6,0.01,427,2.11,,,0.00,0.47,1.11,11.2,0.06,57.4,424,798,0.01,0.11,16.5,0.00,0.26,1.10,0.15,2.67,0.14,0.00
C0318N,"Papa de feijão preto, batata doce, abóbora cabotian (japonesa) e cenoura, c/ caldo de frango, c/ cebola e óleo de soja, c/ sal,",,Alimentos para fins especiais,1.01,0.00,5.86,10.8,0.81,0.30,,0.67,20.0,276,66,46.0,0.82,4.95,53.6,,2.40,23.7,0.52,194,2.80,,,,0.25,1.61,102,0.05,83.2,128,256,0.00,0.04,3.54,0.00,0.99,0.54,1.38,0.39,0.01,0.00
C0215T,"Feijão preto, c/ linguiça calabresa, c/ óleo, cebola e alho, s/ sal,",,Leguminosas e derivados,0.25,0.00,5.20,11.4,1.44,0.42,,17.3,23.0,576,139,62.8,1.18,6.18,110,,7.88,33.3,0.59,276,6.93,,,,,7.68,341,0.19,72.4,0.00,0.00,0.15,0.03,0.77,0.00,1.72,2.28,2.23,1.76,0.02,0.00
C0973F,"Carne, quelônio, Tracajá, cozida, s/ óleo, s/ sal, Podocnemis unifilis,",,Carnes e derivados,0.09,0.00,0.00,0.00,0.96,0.07,80.9,,12.5,916,217,7.93,0.66,0.00,193,,2.10,27.0,7.87,205,25.4,,,0.12,0.00,,108,0.03,71.6,8.51,,0.57,0.64,0.00,0.13,1.45,0.38,0.37,0.41,,0.00
C0122A,"Massa, fresca, capeletti, carne, crua, industrializado,",,Cereais e derivados,0.95,,52.3,55.3,1.47,0.12,,3.35,118,1151,272,93.7,2.67,3.00,180,,1.62,54.1,3.82,836,10.4,,,0.29,,,1103,0.27,31.1,11.2,,0.11,0.37,0.00,0.00,1.30,0.47,0.20,0.81,0.00,0.00
C0064A,"Bolo, baunilha, mistura p/, preparado, Oetker,",,Cereais e derivados,0.55,,48.9,48.9,1.40,0.09,,66.6,55.7,1385,329,74.0,2.30,0.00,295,,11.9,15.8,,139,6.70,,,0.06,,,185,0.15,31.1,,,0.33,,,0.68,0.66,3.16,1.90,5.16,1.14,0.00
C0882B,"Batata, doce, s/ casca, assada, salsa, c/ azeite de oliva, c/ pimenta-do-reino, c/ sal,",,Vegetais e derivados,2.31,0.00,29.6,33.3,2.61,0.14,,0.00,36.6,764,182,14.2,0.54,3.73,46.0,,5.28,30.5,0.01,427,2.09,,,0.00,0.47,1.05,11.1,0.06,56.7,373,746,0.00,0.11,16.5,0.00,0.26,3.66,0.64,0.84,0.00,0.00
C0490N,"Papa de carne bovina moída (patinho), abóbora (jerimum) e chuchu, c/ caldo de frango, c/ cebola e azeite de oliva, c/ sal,",,Alimentos para fins especiais,1.68,0.00,2.73,3.56,0.95,0.06,,47.2,6.48,472,113,10.5,1.24,0.83,119,,4.90,14.0,1.20,217,14.0,,,,0.25,0.38,123,0.03,76.6,64.0,127,1.55,0.02,2.71,,3.08,2.66,0.39,1.48,0.04,0.00
C0717A,"Arroz chop suey, c/ arroz polido, c/ molho shoyu, (arroz polido, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, c/ molho shoyu),",,Cereais e derivados,2.51,0.00,9.40,11.5,1.12,0.13,,40.6,19.1,954,231,14.4,0.56,2.16,100.0,,18.9,15.7,0.62,285,4.89,,,0.06,,2.67,152,0.12,63.5,49.0,80.9,0.12,0.16,6.67,0.24,0.59,4.57,10.5,3.11,0.09,0.00
C0377N,"Papa de macarrão, batata e couve, c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,",,Alimentos para fins especiais,0.36,0.00,9.87,11.3,0.51,0.04,,1.51,60.9,302,72,22.2,0.28,1.41,29.4,,2.31,12.2,0.73,218,2.22,,,0.05,0.00,0.67,4.19,0.05,83.7,64.4,128,0.00,0.04,9.81,0.00,0.20,1.50,0.32,0.38,0.01,0.00
C0077N,"Doce de leite, diet,",,Alimentos para fins especiais,0.17,,23.3,27.3,1.38,0.01,,7.00,98.9,835,197,5.67,0.03,4.03,71.3,,1.37,8.24,,131,20.9,,,0.13,,,60.8,0.03,49.0,39.2,39.2,0.16,,,0.17,0.27,0.50,0.18,0.67,0.00,0.00
C0292B,"Batata, inglesa, cozida, s/ casca, c/ molho branco (leite, farinha de trigo e manteiga), s/ sal, Solanum tuberosum L.,",,Vegetais e derivados,0.28,0.00,11.9,13.1,0.58,0.06,,3.71,35.5,337,80,9.69,0.27,1.23,47.1,,2.38,7.95,0.45,227,2.16,,,0.07,0.00,1.72,21.7,0.06,81.8,19.5,19.8,0.11,0.07,3.11,0.00,0.29,0.57,0.59,1.04,0.00,0.00
C0103E,"Peixe, água doce, filé, cozido, s/ óleo, c/ sal (média de 7 espécies),",,Pescados e Frutos do mar,0.71,0.00,0.00,0.00,1.55,0.06,,91.1,134,592,141,14.2,0.41,0.00,249,,5.28,30.5,3.50,331,23.4,,,0.04,0.45,37.1,51.9,0.01,70.5,1.59,1.59,4.02,0.03,0.61,1.67,0.90,1.73,0.54,2.19,0.04,0.00
C0198E,"Peixe, água salgada, salmão, filé, s/ pele, cozido, drenado, s/ óleo, s/ sal, Salmo salar L.,",,Pescados e Frutos do mar,2.17,0.00,1.00,1.00,1.47,0.02,,63.9,10.5,778,186,19.4,0.23,0.00,265,,10.3,28.1,2.71,340,23.4,,,0.03,0.00,23.0,65.8,0.18,64.9,,,2.75,,0.00,6.71,0.41,3.49,3.77,2.98,,0.00
C0074K,"Sagu, cereja, mistura p/, preparada,",,Produtos açucarados,0.00,,32.0,32.0,0.00,,,0.00,7.19,544,128,1.44,0.57,,2.52,,,0.36,0.00,3.95,0.00,,,0.00,,,0.36,0.00,68.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,,0.00
C0025U,"Semente de girassol, torrada, s/ óleo, s/ sal,",,Sementes e Oleaginosas,,0.00,9.09,20.6,4.40,1.83,,0.00,57.0,2641,639,238,6.81,11.5,1158,,56.8,129,4.20,491,17.2,,,0.29,0.00,,3.00,0.33,1.00,0.00,0.00,0.00,0.81,1.40,0.00,5.30,10.8,37.5,5.95,,0.00
C0137G,"Queijo, requeijão, c/ queijo, cheddar,",,Leite e derivados,0.70,,3.05,3.05,2.96,0.04,,87.7,454,1368,330,17.9,0.13,0.00,474,,28.6,17.3,0.02,91.3,15.1,,,0.14,,19.2,626,0.01,50.3,259,625,0.68,0.03,0.00,0.51,2.30,7.88,0.76,16.5,0.80,0.00
C0172B,"Molho, vinagrete, c/ sal, (tomate, cebola, salsinha, vinagre e óleo, c/ sal),",,Vegetais e derivados,1.70,0.00,4.66,5.66,0.45,0.05,,0.00,23.1,415,100,20.1,0.52,1.00,20.7,,8.47,8.40,0.06,176,0.87,,,0.02,0.32,0.15,131,0.04,84.2,50.9,101,0.00,0.09,9.50,0.00,0.56,6.32,0.83,1.27,0.00,0.00
C0494A,"Sanduíche, pão francês, c/ carne assada, maionese, c/ sal,",,Cereais e derivados,0.57,0.00,31.4,32.7,1.81,0.11,,40.9,9.28,1168,277,75.0,3.44,1.30,162,,8.74,22.9,3.09,229,17.7,,,0.38,,3.65,520,0.21,39.0,1.67,1.02,1.10,0.34,0.00,0.13,2.34,2.90,1.90,2.78,0.23,0.00
C0971F,"Panelada, c/ sal , (vísceras bovinas (bucho, pulmão, coração, língua), rabo, mocotó, tomate, pimentão, salsinha e cebolinha, pimenta-do-reino, c/ óleo, cebola e alho, c/ sal),",,Carnes e derivados,0.33,0.00,1.18,1.54,1.09,0.07,,114,10.9,685,164,7.55,2.43,0.36,61.7,,10.4,10.2,1.90,105,16.4,,,0.28,0.50,15.4,240,0.04,70.6,6.45,7.52,1.40,0.03,16.3,0.05,2.06,4.30,1.29,3.69,0.07,0.00
C0257F,"Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,",,Carnes e derivados,0.26,0.00,1.71,2.21,1.62,0.09,,61.4,6.43,695,166,7.24,2.07,0.50,148,,7.99,15.3,1.58,262,21.6,,,0.07,0.45,0.07,301,0.03,66.6,13.9,26.7,2.02,0.02,3.98,1.77,5.63,2.94,0.77,3.44,0.17,0.00
C0268N,"Papa de fígado bovino e cará, c/ caldo de frango, c/ cebola e óleo de soja, s/ sal,",,Alimentos para fins especiais,0.54,0.00,7.68,8.70,1.05,5.08,,241,5.52,567,135,115,2.45,1.02,181,,5.68,9.77,4.85,207,12.8,,,1.08,0.00,0.29,33.7,0.13,71.8,5840,5850,30.9,0.05,1.03,0.82,1.68,1.36,1.66,2.22,0.05,0.00
C0013K,"Doce, abóbora, cremoso,",,Produtos açucarados,0.35,,52.3,54.6,0.38,,,,13.0,931,219,8.88,0.85,2.28,13.7,,0.21,5.52,,136,0.92,,,,,,,0.08,43.9,0.00,0.00,0.00,0.04,0.11,0.00,,,,,,0.00
C0012T,"Fejião, rosinha, cozido (50% grão 50% caldo), s/ sal, s/ temperos, Phaseolus vulgaris L.,",,Leguminosas e derivados,0.69,0.00,7.06,11.8,0.58,0.09,,0.00,19.2,253,60,80.9,1.18,4.76,89.5,,0.48,43.0,3.69,240,4.54,,,,0.00,0.02,2.08,,82.6,,,0.00,,,0.00,1.30,,0.20,0.20,0.00,0.00
C0227N,"Papa de carne bovina moída (acém), cará e brócolis, c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,",,Alimentos para fins especiais,0.55,0.00,3.99,5.25,0.57,0.07,,38.1,16.0,481,115,21.0,1.04,1.26,74.4,,5.97,11.9,0.65,181,10.7,,,0.02,0.00,0.27,20.9,0.03,77.5,43.6,86.8,0.94,0.06,9.22,0.97,2.91,2.77,0.40,2.26,0.13,0.00
C0271N,"Papa de fígado bovino e cará, c/ caldo de frango, c/ cebola, s/ óleo, s/ sal,",,Alimentos para fins especiais,0.51,0.00,7.82,8.88,1.06,5.08,,241,5.80,496,118,115,2.45,1.06,182,,3.68,10.0,4.85,210,12.9,,,1.08,0.00,0.29,33.8,0.13,73.5,5840,5850,30.9,0.05,1.11,0.82,1.68,0.89,0.47,1.90,0.04,0.00
C1127B,"Alcachofra, assada, s/ óleo, c/ sal,",,Vegetais e derivados,0.21,0.32,5.65,11.6,1.56,0.25,0.00,,48.3,210,50,74.6,1.40,5.92,98.7,,0.16,65.8,1.09,405,3.59,,,0.07,0.00,0.22,230,0.07,83.1,0.99,1.97,0.00,0.11,10.9,0.00,0.54,0.01,0.07,0.04,0.00,0.00
C1002B,"Cenoura e milho, refogado (c/ óleo, cebola e alho), c/ salsa, s/ sal,",,Vegetais e derivados,0.68,0.00,12.5,15.4,0.55,0.03,,0.00,11.5,342,81,19.6,0.51,2.92,56.9,,1.34,12.5,0.84,171,3.34,,,,0.00,0.37,2.91,0.11,79.4,167,335,0.00,0.04,0.70,0.00,0.27,0.27,0.75,0.19,0.00,0.00
